ID,Category,Function,Description,In Scope?,Owner,Stakeholders,Auditor,NIST 800-53 Control Ref,Test Procedures,Score,Target Score,Q1 Actual Score,Q1 Target Score,Q1 Observations,Q1 Observation Date,Q1 Testing Status,Q1 Examine,Q1 Interview,Q1 Test,Q2 Actual Score,Q2 Target Score,Q2 Observations,Q2 Observation Date,Q2 Testing Status,Q2 Examine,Q2 Interview,Q2 Test,Q3 Actual Score,Q3 Target Score,Q3 Observations,Q3 Observation Date,Q3 Testing Status,Q3 Examine,Q3 Interview,Q3 Test,Q4 Actual Score,Q4 Target Score,Q4 Observations,Q4 Observation Date,Q4 Testing Status,Q4 Examine,Q4 Interview,Q4 Test,Remediation Owner,Remediation Due Date,Minimum Target,Action Plan,Artifact Name
DE.AE-02,Adverse Event Analysis (categories/Adverse%20Event%20Analysis%205888a7f41d04d310c9d55775cbbcbb42.csv),DE (functions/DE%206a7a33f74f05512596513064ee131420.csv),Potentially adverse events are analyzed to better understand associated activities,Yes,nadia.khan <nadia.khan@almasecurity.com>,jane <jane@almasecurity.com>; John Doe <john@doe.com>,steve <steve@almasecurity.com>,"AU-06,CA-07,IR-04,SI-04",,5,5,2.5,5,CloudTrail and GuardDuty provide SIEM-like functionality. TTD at 9 hours. Malicious activity detection rules tuned based on threat intelligence.,26-Jan,Complete,No,Yes,Yes,4,5,SIEM monitoring expanded with additional use cases. Log analysis frequency increased. Incident Response Enhancement project addressing 24/7 monitoring gap.,21-Apr,Complete,No,Yes,No,5,5,,17-Jun,Submitted,No,Yes,No,5,5,,,Not Started,No,No,No,nadia.khan <nadia.khan@almasecurity.com>,2026-08-31,5,Complete Incident Response Enhancement project deliverables for 24/7 monitoring. Add additional SIEM use cases for non-AWS systems. Implement log analysis automation to reduce manual review burden.,
DE.AE-03,Adverse Event Analysis (categories/Adverse%20Event%20Analysis%205888a7f41d04d310c9d55775cbbcbb42.csv),DE (functions/DE%206a7a33f74f05512596513064ee131420.csv),Information is correlated from multiple sources,Yes,nadia.khan <nadia.khan@almasecurity.com>,jane <jane@almasecurity.com>,steve <steve@almasecurity.com>,"AU-06,CA-07,IR-04,IR-05,IR-08,PM-16,SI-04",,3,5,2,5,CloudTrail and GuardDuty provide event correlation. Multiple AWS sources integrated. SIEM-style correlation limited to AWS-native tools.,05-Feb,Complete,No,Yes,Yes,3,5,Event correlation improving with additional source integration. GuardDuty findings correlated across accounts. Script updates planned for enhanced correlation.,01-May,Complete,Yes,Yes,Yes,3,5,,,Not Started,No,No,No,3,5,,,Not Started,No,No,No,nadia.khan <nadia.khan@almasecurity.com>,2026-10-31,5,Complete correlation script updates for enhanced cross-source analysis. Integrate additional log sources beyond AWS into correlation engine. Deploy centralized SIEM dashboard for multi-source visibility.,
DE.AE-04,Adverse Event Analysis (categories/Adverse%20Event%20Analysis%205888a7f41d04d310c9d55775cbbcbb42.csv),DE (functions/DE%206a7a33f74f05512596513064ee131420.csv),The estimated impact and scope of adverse events are understood,No,,,,"PM-09,PM-11,PM-18,PM-28,PM-30",,0,0,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,,,0,,
DE.AE-06,Adverse Event Analysis (categories/Adverse%20Event%20Analysis%205888a7f41d04d310c9d55775cbbcbb42.csv),DE (functions/DE%206a7a33f74f05512596513064ee131420.csv),Information on adverse events is provided to authorized staff and tools,Yes,nadia.khan <nadia.khan@almasecurity.com>,jane <jane@almasecurity.com>,steve <steve@almasecurity.com>,"IR-04,PM-15,PM-16,RA-04,RA-10","1. Inquiry: CISO, SOC Manager, 2. Inspect SOC procedures, 3. Observe SOC handoff meeting",6,5,2,5,GuardDuty alerts configured and routed to security team. Alert prioritization matrix implemented. Business hours coverage with on-call rotation.,27-Jan,Complete,Yes,Yes,Yes,4,5,Alert routing enhanced with severity-based escalation. SOC handoff procedures documented. Progress toward 24/7 coverage with planned staffing increase.,22-Apr,Complete,Yes,Yes,No,6,5,,18-Jun,Submitted,No,Yes,No,6,5,,,Not Started,No,No,No,nadia.khan <nadia.khan@almasecurity.com>,2026-10-31,5,Hire additional SOC staff per STS1 strategy to enable 24/7 coverage. Complete SOC handoff procedure documentation. Implement automated alert escalation for critical severity findings.,
DE.AE-07,Adverse Event Analysis (categories/Adverse%20Event%20Analysis%205888a7f41d04d310c9d55775cbbcbb42.csv),DE (functions/DE%206a7a33f74f05512596513064ee131420.csv),Cyber threat intelligence and other contextual information are integrated into the analysis,No,,,,"PM-16,RA-03,RA-10",,0,0,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,,,0,,
DE.AE-08,Adverse Event Analysis (categories/Adverse%20Event%20Analysis%205888a7f41d04d310c9d55775cbbcbb42.csv),DE (functions/DE%206a7a33f74f05512596513064ee131420.csv),Incidents are declared when adverse events meet the defined incident criteria,Yes,gerry <gerry@almasecurity.com>,jane <jane@almasecurity.com>; john <john@almasecurity.com>,steve <steve@almasecurity.com>,"IR-04,IR-08","1. Inquiry: CISO, SOC Manager, 2. Inspect incident criteria, 3. Inspect sample of incident tickets",6,5,2.5,5,Incident criteria documented and approved. Declaration thresholds defined by severity level. SOC Manager authorized to declare incidents.,13-Feb,Complete,Yes,Yes,No,6,5,Criteria consistently applied across all incident types. Sample tickets demonstrate proper declaration process. Continuous improvement through lessons learned.,09-May,Complete,Yes,Yes,Yes,6,5,,,Not Started,No,No,No,6,5,,,Not Started,No,No,No,,,5,,SOC-Ticket-1001
DE.CM-01,Continuous Monitoring (categories/Continuous%20Monitoring%2049cc6558ba5ec39fc9dba72f0c4795b6.csv),DE (functions/DE%206a7a33f74f05512596513064ee131420.csv),Networks and network services are monitored to find potentially adverse events,Yes,tigan.wang <tigan.wang@almasecurity.com>,jane <jane@almasecurity.com>; john <john@almasecurity.com>,steve <steve@almasecurity.com>,"AC-02,AU-12,CA-07,CM-03,SC-05,SC-07,SI-04","1. Inquiry: CISO, Network Ops, 2. Inspect network monitoring policy, 3. Observe SOC dashboards",4,5,2,5,Network monitoring via CloudTrail and VPC Flow Logs. DNS monitoring configured. External perimeter visibility limited pending ASM deployment.,28-Jan,Complete,No,Yes,Yes,4,5,ASM vendor selected (addressing R2). DNS/BGP monitoring operational. Network service monitoring dashboards deployed. Coverage expanding per implementation plan.,23-Apr,Complete,Yes,Yes,Yes,4,5,,19-Jun,Submitted,No,Yes,No,4,5,,,Not Started,No,No,No,tigan.wang <tigan.wang@almasecurity.com>,2026-08-31,5,Complete ASM solution deployment and integration. Expand DNS/BGP monitoring coverage to all network segments. Deploy network service monitoring dashboards to SOC. Address R2 risk register item.,SOC-Ticket-1004
DE.CM-02,Continuous Monitoring (categories/Continuous%20Monitoring%2049cc6558ba5ec39fc9dba72f0c4795b6.csv),DE (functions/DE%206a7a33f74f05512596513064ee131420.csv),The physical environment is monitored to find potentially adverse events,No,,,,"CA-07,PE-03,PE-06,PE-20",,0,0,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,,,0,,
DE.CM-03,Continuous Monitoring (categories/Continuous%20Monitoring%2049cc6558ba5ec39fc9dba72f0c4795b6.csv),DE (functions/DE%206a7a33f74f05512596513064ee131420.csv),Personnel activity and technology usage are monitored to find potentially adverse events,Yes,nadia.khan <nadia.khan@almasecurity.com>,jane <jane@almasecurity.com>; john <john@almasecurity.com>,steve <steve@almasecurity.com>,"AC-02,AU-12,AU-13,CA-07,CM-10,CM-11","1. Inquiry: CISO, IAM Team, 2. Inspect logical monitoring policy, 3. Observe SOC dashboards",3,5,2,5,Logical access monitoring via CloudTrail. SSO with Windows Authenticator and Palo Alto 2FA provides authentication logging. IAM team reviews anomalies.,06-Feb,Complete,No,Yes,Yes,3,5,Access pattern monitoring enhanced. Failed authentication tracking and alerting operational. SOC dashboard development 60% complete.,02-May,Complete,No,Yes,Yes,3,5,,,Not Started,No,No,No,3,5,,,Not Started,No,No,No,nadia.khan <nadia.khan@almasecurity.com>,2026-08-31,5,Complete SOC dashboard development (currently 60%). Implement automated alerting for anomalous access patterns. Expand failed authentication monitoring to all authentication systems.,SOC-Ticket-1005
DE.CM-06,Continuous Monitoring (categories/Continuous%20Monitoring%2049cc6558ba5ec39fc9dba72f0c4795b6.csv),DE (functions/DE%206a7a33f74f05512596513064ee131420.csv),External service provider activities and services are monitored to find potentially adverse events,No,,,,"CA-07,PS-07,SA-04,SA-09,SI-04",,0,0,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,0,0,,,Not Started,No,No,No,,,0,,
