ID,Function,Function Description,Category ID,Category,Category Description,Subcategory ID,Subcategory Description,Implementation Example,In Scope? ,Owner,Stakeholder(s),Auditor,NIST 800-53 Control Ref,Test Procedure(s),Q1 Actual Score,Q1 Target Score,Q1 Observations,Q1 Observation Date,Q1 Testing Status,Q2 Actual Score,Q2 Target Score,Q2 Observations,Q2 Observation Date,Q2 Testing Status,Q3 Actual Score,Q3 Target Score,Q3 Observations,Q3 Observation Date,Q3 Testing Status,Q4 Actual Score,Q4 Target Score,Q4 Observations,Q4 Observation Date,Q4 Testing Status,Minimum Target,Action Plan,Artifact Name
DE.AE-02 Ex2,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.AE,Adverse Event Analysis (DE.AE),"Anomalies, indicators of compromise, and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-02,Potentially adverse events are analyzed to better understand associated activities,"Ex2: Utilize up-to-date cyber threat intelligence in log analysis tools to improve detection accuracy and characterize threat actors, their methods, and indicators of compromise",Yes,,,,"AU-06,CA-07,IR-04,SI-04",,6,5,Annual assessment complete - meets requirements,2024-03-15,Completed,0,5,,2024-06-15,Not Started,3,5,Final review scheduled,2024-09-15,Pending Review,0,5,,2024-12-15,Not Started,5,,
DE.AE-02 Ex3,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.AE,Adverse Event Analysis (DE.AE),"Anomalies, indicators of compromise, and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-02,Potentially adverse events are analyzed to better understand associated activities,Ex3: Regularly conduct manual reviews of log events for technologies that cannot be sufficiently monitored through automation,Yes,,,,"AU-06,CA-07,IR-04,SI-04",,6,5,Annual assessment complete - meets requirements,2024-03-15,Completed,0,5,,2024-06-15,Not Started,3,5,Final review scheduled,2024-09-15,Pending Review,,,,,,5,,
DE.AE-02 Ex4,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.AE,Adverse Event Analysis (DE.AE),"Anomalies, indicators of compromise, and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-02,Potentially adverse events are analyzed to better understand associated activities,Ex4: Use log analysis tools to generate reports on their findings,Yes,,,,"AU-06,CA-07,IR-04,SI-04",,0,5,,2024-03-15,Not Started,4,5,Documentation under review,2024-06-15,Pending Review,5,5,Evidence reviewed and approved,2024-09-15,Completed,2,5,Implementation ongoing,2024-12-15,In Progress,5,,
DE.AE-03 Ex1,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.AE,Adverse Event Analysis (DE.AE),"Anomalies, indicators of compromise, and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-03,Information is correlated from multiple sources,Ex1: Constantly transfer log data generated by other sources to a relatively small number of log servers,No,,,,"AU-06,CA-07,IR-04,IR-05,IR-08,PM-16,SI-04",,,,,,,,,,,,,,,,,,,,,,5,,
DE.AE-03 Ex3,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.AE,Adverse Event Analysis (DE.AE),"Anomalies, indicators of compromise, and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-03,Information is correlated from multiple sources,Ex3: Utilize cyber threat intelligence to help correlate events among log sources,Yes,,,,"AU-06,CA-07,IR-04,IR-05,IR-08,PM-16,SI-04",,2,5,Remediation in progress,2024-03-15,In Progress,1,5,Budget constraints,2024-06-15,Blocked,,,,,,5,5,Control validated and operating effectively,2024-12-15,Completed,5,,
DE.AE-04 Ex2,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.AE,Adverse Event Analysis (DE.AE),"Anomalies, indicators of compromise, and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-04,The estimated impact and scope of adverse events are understood,Ex2: A person creates their own estimates of impact and scope,Yes,,,,"PM-09,PM-11,PM-18,PM-28,PM-30",,0,5,,2024-03-15,Not Started,5,5,Control operating as expected,2024-06-15,Completed,6,5,Evidence reviewed and approved,2024-09-15,Completed,,,,,,5,,
DE.AE-06 Ex2,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.AE,Adverse Event Analysis (DE.AE),"Anomalies, indicators of compromise, and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-06,Information on adverse events is provided to authorized staff and tools,Ex2: Incident responders and other authorized personnel can access log analysis findings at all times,Yes,,,,"IR-04,PM-15,PM-16,RA-04,RA-10",,2,5,Remediation in progress,2024-03-15,In Progress,,,,,,6,5,Evidence reviewed and approved,2024-09-15,Completed,3,5,Evidence submitted for review,2024-12-15,Pending Review,5,,
DE.AE-06 Ex3,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.AE,Adverse Event Analysis (DE.AE),"Anomalies, indicators of compromise, and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-06,Information on adverse events is provided to authorized staff and tools,Ex3: Automatically create and assign tickets in the organization's ticketing system when certain types of alerts occur,No,,,,"IR-04,PM-15,PM-16,RA-04,RA-10",,,,,,,,,,,,,,,,,,,,,,5,,
DE.AE-06 Ex4,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.AE,Adverse Event Analysis (DE.AE),"Anomalies, indicators of compromise, and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-06,Information on adverse events is provided to authorized staff and tools,Ex4: Manually create and assign tickets in the organization's ticketing system when technical staff discover indicators of compromise,Yes,,,,"IR-04,PM-15,PM-16,RA-04,RA-10",,2,5,Remediation in progress,2024-03-15,In Progress,0,5,,2024-06-15,Not Started,,,,,,,,,,,5,,
DE.AE-07 Ex1,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.AE,Adverse Event Analysis (DE.AE),"Anomalies, indicators of compromise, and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-07,Cyber threat intelligence and other contextual information are integrated into the analysis,"Ex1: Securely provide cyber threat intelligence feeds to detection technologies, processes, and personnel",No,,,,"PM-16,RA-03,RA-10",,,,,,,,,,,,,,,,,,,,,,5,,
DE.AE-07 Ex3,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.AE,Adverse Event Analysis (DE.AE),"Anomalies, indicators of compromise, and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-07,Cyber threat intelligence and other contextual information are integrated into the analysis,"Ex3: Rapidly acquire and analyze vulnerability disclosures for the organization's technologies from suppliers, vendors, and third-party security advisories",Yes,,,,"PM-16,RA-03,RA-10",,6,5,Annual assessment complete - meets requirements,2024-03-15,Completed,3,5,Testing in progress,2024-06-15,In Progress,0,5,,2024-09-15,Not Started,,,,,,5,,
DE.AE-08 Ex2,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.AE,Adverse Event Analysis (DE.AE),"Anomalies, indicators of compromise, and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-08,Incidents are declared when adverse events meet the defined incident criteria,Ex2: Take known false positives into account when applying incident criteria,Yes,,,,"IR-04,IR-08",,0,5,,2024-03-15,Not Started,0,5,,2024-06-15,Not Started,0,5,,2024-09-15,Not Started,0,5,,2024-12-15,Not Started,5,,
DE.CM-01 Ex2,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.CM,Continuous Monitoring (DE.CM),"Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events",DE.CM-01,Networks and network services are monitored to find potentially adverse events,Ex2: Monitor wired and wireless networks for connections from unauthorized endpoints,Yes,,,,"AC-02,AU-12,CA-07,CM-03,SC-05,SC-07,SI-04",,5,5,Annual assessment complete - meets requirements,2024-03-15,Completed,,,,,,,,,,,2,5,Implementation ongoing,2024-12-15,In Progress,5,,
DE.CM-01 Ex3,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.CM,Continuous Monitoring (DE.CM),"Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events",DE.CM-01,Networks and network services are monitored to find potentially adverse events,Ex3: Monitor facilities for unauthorized or rogue wireless networks,Yes,,,,"AC-02,AU-12,CA-07,CM-03,SC-05,SC-07,SI-04",,0,5,,2024-03-15,Not Started,2,5,Testing in progress,2024-06-15,In Progress,,,,,,,,,,,5,,
DE.CM-01 Ex4,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.CM,Continuous Monitoring (DE.CM),"Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events",DE.CM-01,Networks and network services are monitored to find potentially adverse events,Ex4: Compare actual network flows against baselines to detect deviations,Yes,,,,"AC-02,AU-12,CA-07,CM-03,SC-05,SC-07,SI-04",,2,5,Remediation in progress,2024-03-15,In Progress,,,,,,3,5,Final review scheduled,2024-09-15,Pending Review,,,,,,5,,
DE.CM-01 Ex5,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.CM,Continuous Monitoring (DE.CM),"Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events",DE.CM-01,Networks and network services are monitored to find potentially adverse events,Ex5: Monitor network communications to identify changes in security postures for zero trust purposes,No,,,,"AC-02,AU-12,CA-07,CM-03,SC-05,SC-07,SI-04",,,,,,,,,,,,,,,,,,,,,,5,,
DE.CM-02 Ex2,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.CM,Continuous Monitoring (DE.CM),"Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events",DE.CM-02,The physical environment is monitored to find potentially adverse events,"Ex2: Review and monitor physical access records (e.g., from visitor registration, sign-in sheets)",Yes,,,,"CA-07,PE-03,PE-06,PE-20",,5,5,Annual assessment complete - meets requirements,2024-03-15,Completed,4,5,Documentation under review,2024-06-15,Pending Review,6,5,Evidence reviewed and approved,2024-09-15,Completed,1,5,Awaiting resource allocation,2024-12-15,Blocked,5,,
DE.CM-02 Ex3,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.CM,Continuous Monitoring (DE.CM),"Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events",DE.CM-02,The physical environment is monitored to find potentially adverse events,"Ex3: Monitor physical access controls (e.g., locks, latches, hinge pins, alarms) for signs of tampering",Yes,,,,"CA-07,PE-03,PE-06,PE-20",,3,5,Remediation in progress,2024-03-15,In Progress,0,5,,2024-06-15,Not Started,4,5,Final review scheduled,2024-09-15,Pending Review,0,5,,2024-12-15,Not Started,5,,
DE.CM-02 Ex4,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.CM,Continuous Monitoring (DE.CM),"Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events",DE.CM-02,The physical environment is monitored to find potentially adverse events,"Ex4: Monitor the physical environment using alarm systems, cameras, and security guards",Yes,,,,"CA-07,PE-03,PE-06,PE-20",,2,5,Remediation in progress,2024-03-15,In Progress,6,5,Control operating as expected,2024-06-15,Completed,6,5,Evidence reviewed and approved,2024-09-15,Completed,2,5,Implementation ongoing,2024-12-15,In Progress,5,,
DE.CM-03 Ex1,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.CM,Continuous Monitoring (DE.CM),"Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events",DE.CM-03,Personnel activity and technology usage are monitored to find potentially adverse events,Ex1: Use behavior analytics software to detect anomalous user activity to mitigate insider threats,Yes,,,,"AC-02,AU-12,AU-13,CA-07,CM-10,CM-11",,3,5,Remediation in progress,2024-03-15,In Progress,,,,,,,,,,,,,,,,5,,
